Recipe_ID,Recipe_Name,Image URL
112,steak-hache-pommes-frites-cheats-bearnaise-sauce,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/steak-hache-66f0d36.jpg?quality=90&resize=440,400"
113,french-toast,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-2161_12-e542d6a.jpg?quality=90&resize=93,84"
114,macarons,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-660468_11-3decc64.jpg?quality=90&resize=440,400"
115,baked-ratatouille-goats-cheese,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/ratatouille_1-39936da.jpg?quality=90&resize=440,400"
116,croissants,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/croissants_0-9efd0ea.jpg?quality=90&resize=440,400"
117,madeleines,"https://images.immediate.co.uk/production/volatile/sites/30/2022/06/Madeleines-351c2c6.png?quality=90&resize=556,505"
118,classic-crepes,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-27035_10-948f180.jpg?quality=90&resize=93,84"
119,coq-au-vin,"https://images.immediate.co.uk/production/volatile/sites/30/2012/01/coq-au-vin-3740fe3.jpg?quality=90&resize=556,505"
120,ultimate-french-omelette,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-328624_11-eca84b2.jpg?quality=90&resize=440,400"
121,tarte-tatin,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/tarte-tatin-502b8b9.jpg?quality=90&resize=440,400"
122,three-cheese-souffles,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1256463_9-93c0d0c.jpg?quality=90&resize=440,400"
123,french-onion-soup,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1239532_8-de52129.jpg?quality=90&resize=93,84"
124,chocolate-macaroons,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-143620_11-fb4db66.jpg?quality=90&resize=440,400"
125,chocolate-banana-french-toast,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-931471_11-08404b4.jpg?quality=90&resize=440,400"
126,jacks-pork-cassoulet,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pork-cassoulet-0876da1.jpg?quality=90&resize=440,400"
127,greek-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1201727_11-4026b8d.jpg?quality=90&resize=440,400"
128,moussaka,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-2681_11-461b11d.jpg?quality=90&resize=93,84"
129,crispy-greek-style-pie,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-491503_12-f496108.jpg?quality=90&resize=440,400"
130,tzatziki,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/tzatziki-ad43c53.jpg?quality=90&resize=440,400"
131,lamb-kleftiko,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/kleftiko-51d10b9.jpg?quality=90&resize=440,400"
132,greek-style-salad-dressing,"https://images.immediate.co.uk/production/volatile/sites/30/2024/02/GreekSaladDressing-6f8e132.jpg?quality=90&resize=556,505"
133,chicken-gyros,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chicken-gyros-500f38e.jpg?quality=90&resize=440,400"
134,artichoke-aubergine-lamb-moussaka,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/artichoke-aubergine-lamb-moussaka-7ce21de.jpg?quality=90&resize=440,400"
135,greek-style-roast-fish,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/greek-style-roast-fish-efd6bb8.jpg?quality=90&resize=440,400"
136,vegetarian-pastitsio,"https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Vegetarian-pastitsio-b35e6e0.jpg?quality=90&resize=556,505"
137,next-level-moussaka,"https://images.immediate.co.uk/production/volatile/sites/30/2024/07/Next-level-moussaka-28d214d.jpg?quality=90&resize=556,505"
138,greek-lamb-potatoes-olives,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-513792_10-a301954.jpg?quality=90&resize=440,400"
139,flaounes,"https://images.immediate.co.uk/production/volatile/sites/30/2022/03/Flaounes-2c2a536.jpg?quality=90&resize=556,505"
140,spicy-lamb-feta-skewers-greek-brown-rice-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/koftas-1634605.jpg?quality=90&resize=440,400"
141,spiced-chicken-skewers-chopped-salad-flatbreads,"https://images.immediate.co.uk/production/volatile/sites/30/2022/04/220413_SPICED_CHICKEN_SKEWERS_CHOPPED_SALAD_SEASONED_YOGHURT_AND_GRILLED_FLATBREADS_0217_111-0b6e495.jpg?quality=90&resize=556,505"
142,greek-lamb-meatballs,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/meatballs-7598956.jpg?quality=90&resize=440,400"
143,lamb-burgers-tzatziki,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1308460_3-5936faf.jpg?quality=90&resize=440,400"
144,griddled-chicken-quinoa-greek-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1201615_11-0e0c869.jpg?quality=90&resize=440,400"
145,greek-lamb-macaroni-bake,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1178454_11-ae921b2.jpg?quality=90&resize=440,400"
146,greek-beans-seared-lamb,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1080452_11-c0694ef.jpg?quality=90&resize=440,400"
147,marinated-feta-thyme-chilli-oil,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1035703_10-205e51c.jpg?quality=90&resize=440,400"
148,barbecued-greek-lamb-tzatziki,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-986483_11-ec86fc8.jpg?quality=90&resize=440,400"
149,easy-japanese-okonomiyaki,"https://images.immediate.co.uk/production/volatile/sites/30/2022/01/Okonomiyaki-pg13-363c802-03b59be.jpg?quality=90&resize=556,505"
150,spicy-peanut-butter-corn-ramen,"https://images.immediate.co.uk/production/volatile/sites/30/2024/12/Spicy-peanut-butter-and-corn-ramen-f8e2b15.jpg?quality=90&resize=556,505"
151,fluffy-japanese-pancakes-2,"https://images.immediate.co.uk/production/volatile/sites/30/2024/06/FluffyJapanesePancakes-e6d7773.jpg?quality=90&resize=556,505"
152,japanese-ramen-noodle-soup,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/ramen-d85927e.jpg?quality=90&resize=440,400"
153,japanese-style-bento-box,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/bento-3704d07.jpg?quality=90&resize=440,400"
154,homemade-yakisoba-sauce,"https://images.immediate.co.uk/production/volatile/sites/30/2024/06/YakisobaSauce-fc953ff.jpg?quality=90&resize=556,505"
155,pickled-ginger,"https://images.immediate.co.uk/production/volatile/sites/30/2023/03/Pickled-Ginger-21fd05b.jpg?quality=90&resize=556,505"
156,homemade-tonkatsu-sauce,"https://images.immediate.co.uk/production/volatile/sites/30/2024/06/TonkatsuSauce-3dc3f2e.jpg?quality=90&resize=556,505"
157,japanese-rice-gohan,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/ricegohan-af57a7d.jpg?quality=90&resize=440,400"
158,miso-soup,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/miso_soup-e06ed98.jpg?quality=90&resize=440,400"
159,katsu-curry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/as-you-like-it-katsu-curry-f23d753.jpg?quality=90&resize=440,400"
160,veggie-yaki-udon,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/yaki-udon-19d4efb.jpg?quality=90&resize=440,400"
161,chuka-fu-shredded-cabbage,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chuka-fu-shredded-cabbage-24f11dd.jpg?quality=90&resize=440,400"
162,tonkatsu-pork,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/tonkatsu-24fbb4f.jpg?quality=90&resize=440,400"
163,veggie-okonomiyaki,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/veggie-okonomiyaki-de8fe85.jpg?quality=90&resize=440,400"
164,quick-sushi-bowl,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/quick-sushi-bowl-bf90cf3.jpg?quality=90&resize=440,400"
165,katsu-aubergine-noodles,"https://images.immediate.co.uk/production/volatile/sites/30/2024/07/Katsu-aubergine-noodles-0bd0b0b.jpg?quality=90&resize=556,505"
166,japanese-katsudon,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/the-day-after-dish-katsudon-219e470.jpg?quality=90&resize=440,400"
167,smoked-salmon-avocado-sushi,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-837452_11-2e4da79.jpg?quality=90&resize=440,400"
168,yakitori-chicken,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/yakitori-24fbb4f.jpg?quality=90&resize=440,400"
169,goma-ae-japanese-greens,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/goma-ae-greens-1354a36.jpg?quality=90&resize=440,400"
170,miso-steak,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-329481_12-fdd3371.jpg?quality=90&resize=440,400"
171,rice-quinoa-prawn-sushi-bowl,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/rice-quinoa-prawn-sushi-bowl-b750403.jpg?quality=90&resize=440,400"
172,katsu-pork-sticky-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1222479_11-5cc6ceb.jpg?quality=90&resize=440,400"
173,chicken-katsu-curry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chicken-katsu-curry-d339012.jpg?quality=90&resize=430,390"
